"Plot Title: FCR20_20250421_2"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 2407064, SEN S/N: 2407064)","Good Battery (LGR S/N: 2407064)","Bad Battery (LGR S/N: 2407064)","Coupler Attached (LGR S/N: 2407064)","Coupler Detached (LGR S/N: 2407064)","Host Connected (LGR S/N: 2407064)","Stopped (LGR S/N: 2407064)","End Of File (LGR S/N: 2407064)"
246,04/23/25 06:40:00 AM,10.846,,,,,,,
247,04/23/25 06:50:00 AM,10.846,,,,,,,
248,04/23/25 07:00:00 AM,10.846,,,,,,,
249,04/23/25 07:10:00 AM,10.846,,,,,,,
250,04/23/25 07:20:00 AM,10.846,,,,,,,
251,04/23/25 07:30:00 AM,10.846,,,,,,,
252,04/23/25 07:40:00 AM,10.846,,,,,,,
253,04/23/25 07:50:00 AM,10.846,,,,,,,
254,04/23/25 08:00:00 AM,10.846,,,,,,,
255,04/23/25 08:10:00 AM,10.846,,,,,,,
256,04/23/25 08:20:00 AM,10.846,,,,,,,
257,04/23/25 08:30:00 AM,10.846,,,,,,,
258,04/23/25 08:40:00 AM,10.846,,,,,,,
259,04/23/25 08:50:00 AM,10.846,,,,,,,
260,04/23/25 09:00:00 AM,10.846,,,,,,,
261,04/23/25 09:10:00 AM,10.846,,,,,,,
262,04/23/25 09:20:00 AM,10.846,,,,,,,
263,04/23/25 09:30:00 AM,10.846,,,,,,,
264,04/23/25 09:40:00 AM,10.846,,,,,,,
265,04/23/25 09:50:00 AM,10.846,,,,,,,
266,04/23/25 10:00:00 AM,10.846,,,,,,,
267,04/23/25 10:10:00 AM,10.846,,,,,,,
268,04/23/25 10:20:00 AM,10.846,,,,,,,
269,04/23/25 10:30:00 AM,10.846,,,,,,,
270,04/23/25 10:40:00 AM,10.846,,,,,,,
271,04/23/25 10:50:00 AM,10.846,,,,,,,
272,04/23/25 11:00:00 AM,10.846,,,,,,,
273,04/23/25 11:10:00 AM,10.846,,,,,,,
274,04/23/25 11:20:00 AM,10.846,,,,,,,
275,04/23/25 11:30:00 AM,10.846,,,,,,,
276,04/23/25 11:40:00 AM,10.846,,,,,,,
277,04/23/25 11:50:00 AM,10.846,,,,,,,
278,04/23/25 12:00:00 PM,10.846,,,,,,,
279,04/23/25 12:10:00 PM,10.846,,,,,,,
