"TOA5","CR6Series_BVRplatform","CR6","13030","CR6.Std.10.02 CR6-WIFI.05","CPU:BVR_Platform_wind_20250320.CR6","23357","bvre-waterquality"
"TIMESTAMP","RECORD","BattV","PTemp_C","wtr_1","wtr_2","wtr_3","wtr_4","wtr_5","wtr_6","wtr_7","wtr_8","wtr_9","wtr_10","wtr_11","wtr_12","wtr_13","doobs_6","dosat_6","dotemp_6","doobs_13","dosat_13","dotemp_13","EXO_Date","EXO_Time","EXO_wtr_1","Cond_1","SpCond_1","TDS_1","dosat_1","doobs_1","Chla_RFU_1","Chla_1","BGAPC_RFU_1","BGAPC_1","fDOM_RFU_1","fDOM_QSU_1","Turbidity_FNU_1","TSS_mgL_1","EXO_pressure","EXO_depth","EXO_battery","EXO_cablepower","EXO_wiper","Lvl_psi","wtr_pt_13"
"2025-12-01 13:20:00",36288,14.29,9.61,"NAN","NAN",9.580957,7.256769,7.008081,9.643732,8.359705,4.662439,4.455133,4.447717,4.417322,4.426019,4.37298,11.70648,90.81654,4.638443,11.80271,91.02749,4.413269,251201,141346,4.649,30.83,50.44,32.79,86.62,11.16,0.67,2.09,1.74,1.05,4.03,12.06,18.39,0,2.59,1.824,5.93,12.67,1.2,8.530981,4.448402
"2025-12-01 13:30:00",36289,14.28,9.68,"NAN","NAN",9.950373,8.674585,7.602533,10.0437,8.86944,4.666406,4.462121,4.440088,4.417688,4.429864,4.379236,11.72666,91.02896,4.66198,11.70613,90.31311,4.426163,251201,142346,4.641,30.76,50.33,32.71,85.73,11.05,0.68,2.13,1.83,1.14,3.99,11.93,18.9,0,2.59,1.823,5.93,12.68,1.2,8.532098,4.455421
"2025-12-01 13:40:00",36290,14.27,9.63,"NAN","NAN",9.01507,5.957483,6.992853,8.698236,7.863397,4.679498,4.474481,4.440942,4.425714,4.436883,4.385614,11.78353,91.46277,4.658821,11.75073,90.68554,4.438217,251201,143346,4.641,30.78,50.36,32.74,86.81,11.19,0.5,1.44,1.81,1.12,3.99,11.91,18.71,0,2.58,1.82,5.93,12.69,1.2,8.530798,4.462329
"2025-12-01 13:50:00",36291,14.28,9.46,"NAN","NAN",7.18136,6.449884,5.580316,7.669763,6.933832,4.641504,4.497186,4.445123,4.432367,4.449731,4.396326,11.8735,92.12355,4.643127,11.80389,91.1142,4.44593,251201,144346,4.652,30.79,50.36,32.74,87.55,11.28,0.7,2.19,1.82,1.14,4.03,12.04,19.1,0,2.58,1.818,5.93,12.69,1.19,8.534874,4.467492
"2025-12-01 14:00:00",36292,14.27,9.29,"NAN","NAN",10.05065,8.657953,7.873834,10.92864,9.447596,4.692407,4.512781,4.449731,4.43136,4.44668,4.407098,11.72284,90.99897,4.661812,11.74842,90.72999,4.464523,251201,145346,4.682,30.81,50.34,32.72,87.69,11.29,0.57,1.71,1.78,1.09,4,11.97,18.75,0,2.58,1.818,5.93,12.7,1.19,8.536201,4.480619
"2025-12-01 14:10:00",36293,14.29,9.2,"NAN","NAN",8.722223,6.862665,5.989343,9.527552,7.163507,4.691919,4.523309,4.449457,4.432184,4.448572,4.419519,11.81997,91.7902,4.677513,11.78188,90.98374,4.462509,251201,150346,4.683,30.78,50.29,32.69,86.86,11.18,0.58,1.76,1.78,1.1,3.98,11.89,18.86,0,2.58,1.818,5.93,12.69,1.19,8.534231,4.496697
"2025-12-01 14:20:00",36294,14.29,9.07,"NAN","NAN",6.790369,6.262994,5.299432,6.453638,6.107965,4.654932,4.502466,4.459009,4.43609,4.454828,4.421716,11.92344,92.48771,4.633423,11.83525,91.39984,4.464188,251201,151346,4.661,30.77,50.32,32.71,84.05,10.83,0.53,1.55,1.75,1.07,3.96,11.83,18.63,0,2.58,1.816,5.93,12.71,1.19,8.536788,4.502512
"2025-12-01 14:30:00",36295,14.27,8.89,"NAN","NAN",6.239984,5.273309,5.182367,6.346277,5.458215,4.657037,4.500391,4.470453,4.447809,4.466211,4.432245,11.73808,91.20452,4.698723,11.83623,91.45897,4.485786,251201,152346,4.65,30.75,50.3,32.7,88.51,11.41,0.68,2.13,1.82,1.13,4,11.95,20.45,0,2.58,1.813,5.94,12.71,1.19,8.527241,4.507754
"2025-12-01 14:40:00",36296,13.79,8.64,"NAN","NAN",5.350214,4.266809,4.626855,5.410272,4.554101,4.663415,4.484766,4.486475,4.474847,4.47204,4.435449,11.76218,91.37554,4.691856,11.81795,91.328,4.490128,251201,153346,4.649,30.74,50.28,32.68,88.84,11.45,0.62,1.9,1.8,1.11,3.98,11.89,18.68,0,2.57,1.809,5.93,12.7,1.19,8.531965,4.514596
"2025-12-01 14:50:00",36297,13.65,8.26,"NAN","NAN",4.858118,4.600275,4.486993,5.370752,4.502008,4.656152,4.487085,4.48913,4.471185,4.475275,4.438013,11.70965,91.05425,4.728584,11.83261,91.43926,4.489296,251201,154346,4.706,30.78,50.26,32.67,88.86,11.43,0.66,2.03,1.79,1.11,4,11.95,18.8,0,2.57,1.809,5.93,12.12,1.19,8.533496,4.517933
"2025-12-01 15:00:00",36298,13.69,7.903,"NAN","NAN",4.238763,3.819696,4.044031,4.681421,4.07348,4.691797,4.486352,4.485254,4.462366,4.470056,4.436822,11.69536,90.97215,4.740921,11.82714,91.39621,4.48896,251201,155346,4.721,30.81,50.29,32.69,87.7,11.28,0.63,1.93,1.82,1.13,3.97,11.87,18.51,0,2.57,1.81,5.93,11.98,1.19,8.535149,4.51841
"2025-12-01 15:10:00",36299,13.64,7.597,"NAN","NAN",3.914148,3.618433,3.776758,4.413904,3.70675,4.659265,4.49978,4.486902,4.46142,4.47323,4.437219,11.69938,90.87589,4.686859,11.8226,91.36115,4.48896,251201,160346,4.724,30.79,50.26,32.67,88.68,11.41,0.53,1.57,1.78,1.1,3.95,11.79,17.78,0,2.57,1.811,5.94,11.97,1.19,8.534655,4.522674
"2025-12-01 15:20:00",36300,13.62,7.365,"NAN","NAN",3.693231,3.537714,3.709314,4.195032,3.653345,4.652338,4.485834,4.490228,4.464136,4.475641,4.439935,11.73291,91.10749,4.674675,11.80273,91.20484,4.487793,251201,161346,4.668,30.74,50.26,32.67,86.9,11.19,0.7,2.19,1.81,1.12,4,11.96,18.54,0,2.57,1.81,5.93,12.04,1.19,8.535591,4.520738
"2025-12-01 15:30:00",36301,13.61,7.176,"NAN","NAN",3.546991,3.26629,3.475427,4.00329,3.392175,4.635767,4.492303,4.493188,4.462701,4.477624,4.441431,11.74843,91.21015,4.667168,11.76878,90.94757,4.489967,251201,162346,4.711,30.79,50.26,32.67,89.43,11.5,0.53,1.57,1.8,1.12,3.99,11.92,18.48,0,2.57,1.808,5.93,11.95,1.19,8.531732,4.522379
"2025-12-01 15:40:00",36302,13.57,7.012,"NAN","NAN",3.157587,3.051965,3.130365,3.393548,3.143793,4.628015,4.482049,4.491022,4.4656,4.479272,4.439844,11.70343,90.84963,4.662483,11.72235,90.5923,4.49147,251201,163346,4.697,30.77,50.26,32.67,88.65,11.41,0.69,2.14,1.82,1.14,3.95,11.81,17.57,0,2.57,1.808,5.93,11.95,1.19,8.536567,4.523403
"2025-12-01 15:50:00",36303,13.55,6.869,"NAN","NAN",3.198389,3.087213,3.210077,3.624902,3.182886,4.603326,4.47146,4.493158,4.468561,4.484369,4.443109,11.72922,90.99021,4.637268,11.79337,91.14481,4.492973,251201,164346,4.653,30.74,50.28,32.68,88.92,11.46,0.5,1.47,1.79,1.11,3.99,11.93,18.71,0,2.57,1.808,5.93,11.94,1.19,8.534174,4.525914
"2025-12-01 16:00:00",36304,13.52,6.745,"NAN","NAN",3.128839,2.990045,3.102045,3.469446,3.044977,4.591394,4.475732,4.497858,4.476373,4.491968,4.445306,11.67945,90.5829,4.628258,11.7744,91.00693,4.496658,251201,165346,4.657,30.74,50.28,32.68,89.45,11.52,0.52,1.51,1.77,1.09,3.98,11.88,18.24,0,2.57,1.81,5.93,11.89,1.19,8.537077,4.527514
"2025-12-01 16:10:00",36305,13.43,6.625,"NAN","NAN",2.963342,2.888879,3.051294,3.407281,2.998346,4.589166,4.475549,4.49682,4.478815,4.494623,4.447595,11.65308,90.34268,4.613037,11.76556,90.96999,4.509888,251201,170346,4.65,30.77,50.34,32.72,87.99,11.34,0.43,1.19,1.79,1.11,4.01,11.99,18.09,0,2.57,1.812,5.93,11.83,1.19,8.535414,4.531527
"2025-12-01 16:20:00",36306,13.41,6.506,"NAN","NAN",2.921045,2.777063,3.019311,3.526483,2.910028,4.576105,4.475397,4.488702,4.47503,4.493127,4.468225,11.64107,90.24642,4.611702,11.81934,91.39131,4.51223,251201,171346,4.654,30.74,50.28,32.68,88.87,11.45,0.42,1.15,1.75,1.07,4.03,12.03,18.45,0,2.57,1.811,5.93,11.79,1.2,8.536166,4.53578
"2025-12-01 16:30:00",36307,13.31,6.365,"NAN","NAN",2.639764,2.445093,2.735254,3.14715,2.583704,4.570245,4.468591,4.481958,4.466791,4.487421,4.474267,11.57381,89.72254,4.610703,11.74324,90.80539,4.513237,251201,172346,4.647,30.75,50.3,32.7,87.7,11.3,0.52,1.52,1.8,1.11,3.98,11.89,18.09,0,2.57,1.81,5.93,11.74,1.2,8.534472,4.542139
"2025-12-01 16:40:00",36308,12.96,6.26,"NAN","NAN",2.398187,2.326684,2.499475,3.050531,2.447748,4.558069,4.459985,4.475336,4.462427,4.485315,4.48031,11.7378,90.94023,4.587975,11.64868,90.07839,4.515068,251201,173346,4.62,30.74,50.33,32.72,87.02,11.22,0.61,1.88,1.8,1.12,4.01,11.97,17.67,0,2.57,1.811,5.94,11.43,1.2,8.535139,4.547699
"2025-12-01 16:50:00",36309,13.01,6.292,"NAN","NAN",1.961939,1.830347,1.942987,2.346216,1.811304,4.547967,4.44909,4.469018,4.457696,4.479944,4.46795,11.55165,89.49523,4.586815,11.59204,89.63913,4.514572,251201,174346,4.615,30.74,50.33,32.72,87.12,11.24,0.37,0.98,1.69,1,3.93,11.75,16.93,0,2.57,1.811,5.93,11.39,1.2,8.53214,4.543262
"2025-12-01 17:00:00",36310,12.99,6.301,"NAN","NAN",1.404321,1.213892,1.28924,1.507623,1.125421,4.539697,4.446283,4.462854,4.446222,4.470758,4.463006,11.4939,89.04161,4.584137,11.67133,90.24931,4.513237,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",8.533282,4.52489
"2025-12-01 17:10:00",36311,13.06,6.238,"NAN","NAN",0.7703797,0.5693299,0.6985718,1.029871,0.6661316,4.539758,4.445398,4.465814,4.448114,4.461694,4.432947,11.25831,87.19084,4.572777,11.77333,90.98545,4.491135,251201,180346,4.607,30.69,50.26,32.67,88.47,11.41,0.46,1.32,1.78,1.1,3.94,11.79,18.09,0,2.57,1.813,5.93,11.36,1.19,8.534875,4.502624
"2025-12-01 17:20:00",36312,13.12,5.933,"NAN","NAN",0.4569031,0.3380676,0.3766113,0.6279236,0.2448059,4.535455,4.446771,4.469324,4.448877,4.454248,4.423212,11.21645,86.84224,4.562073,11.76873,90.94489,4.48896,251201,181346,4.604,30.75,50.37,32.74,87.54,11.29,0.51,1.49,1.78,1.1,3.99,11.93,17.91,0,2.58,1.813,5.94,11.5,1.19,8.53536,4.501447
"2025-12-01 17:30:00",36313,13.12,5.542,"NAN","NAN",0.2856689,0.232904,0.2506653,0.5755249,0.1293274,4.55224,4.447351,4.470178,4.444513,4.455041,4.423456,11.26838,87.29987,4.586472,11.76461,90.90233,4.484444,251201,182346,4.595,30.69,50.3,32.69,87.97,11.35,0.39,1.03,1.75,1.07,4,11.95,17.86,0,2.57,1.812,5.93,11.51,1.19,8.532314,4.50568
"2025-12-01 17:40:00",36314,13.12,5.162,"NAN","NAN",-0.142157,-0.3427795,-0.2760681,0.02974853,-0.1608948,4.624292,4.432703,4.460779,4.441308,4.445093,4.421869,11.15532,86.50124,4.620903,11.70679,90.43508,4.475739,251201,183346,4.59,30.69,50.29,32.69,88.64,11.44,0.5,1.46,1.83,1.14,3.99,11.94,18.35,0,2.57,1.813,5.93,11.5,1.19,8.532356,4.496081
"2025-12-01 17:50:00",36315,13.1,4.772,"NAN","NAN",-0.3777527,-0.491156,-0.4855103,-0.2353272,-0.430365,4.557397,4.430597,4.462396,4.437372,4.445978,4.41604,11.11839,86.24988,4.636429,11.7504,90.74967,4.46637,251201,184346,4.584,30.74,50.39,32.76,87.63,11.31,0.35,0.9,1.79,1.1,3.93,11.76,16.19,0,2.57,1.812,5.93,11.5,1.19,8.530983,4.496837
"2025-12-01 18:00:00",36316,13.08,4.387,"NAN","NAN",-0.6375793,-0.7306885,-0.718573,-0.3844971,-0.617865,4.551569,4.430933,4.463769,4.441614,4.441675,4.40838,11.13058,86.36416,4.645287,11.78071,90.98102,4.465195,251201,185346,4.588,30.71,50.33,32.71,87.85,11.34,0.44,1.21,1.8,1.12,4,11.96,17.96,0,2.57,1.81,5.93,11.48,1.19,8.533015,4.484694
"2025-12-01 18:10:00",36317,13.08,3.985,"NAN","NAN",-0.8910888,-0.9987243,-0.9205993,-0.5235656,-0.7818664,4.599969,4.433649,4.464715,4.448724,4.438715,4.40423,11.01131,85.42063,4.637108,11.79176,91.06144,4.463173,251201,190346,4.585,30.75,50.4,32.76,87.28,11.27,0.46,1.3,1.77,1.08,4.02,12.02,17.71,0,2.57,1.81,5.94,11.48,1.19,8.533319,4.483056
"2025-12-01 18:20:00",36318,13.09,3.618,"NAN","NAN",-1.032416,-1.089026,-1.0203,-0.5864013,-0.7807068,4.601373,4.438226,4.468225,4.45611,4.449762,4.400354,11.17403,86.68482,4.637939,11.79103,91.03493,4.454308,251201,191346,4.596,30.84,50.53,32.85,87.34,11.27,0.63,1.94,1.83,1.14,3.94,11.79,17.17,0,2.57,1.811,5.93,11.47,1.19,8.534593,4.479275
"2025-12-01 18:30:00",36319,13.08,3.287,"NAN","NAN",-1.077734,-1.176978,-1.075476,-0.6609863,-0.9350647,4.589715,4.442224,4.472009,4.455194,4.446802,4.40011,11.39952,88.42073,4.63208,11.78032,90.95893,4.457161,251201,192346,4.642,30.76,50.33,32.71,84.35,10.87,0.61,1.85,1.78,1.09,3.96,11.84,17.74,0,2.57,1.812,5.93,11.48,1.19,8.533962,4.480297
"2025-12-01 18:40:00",36320,13.08,3.024,"NAN","NAN",-1.08631,-1.086157,-1.071814,-0.7390503,-0.990393,4.583734,4.44375,4.471796,4.452753,4.449029,4.400964,11.4275,88.59557,4.613876,11.78043,90.94503,4.450958,251201,193346,4.633,30.73,50.29,32.69,86.72,11.18,0.56,1.68,1.8,1.11,4.02,12.03,16.81,0,2.57,1.811,5.94,11.46,1.19,8.532969,4.481445
"2025-12-01 18:50:00",36321,13.07,2.865,"NAN","NAN",-0.9902099,-1.021765,-0.9970764,-0.7275757,-0.949591,4.567621,4.445093,4.472894,4.457666,4.453119,4.404535,11.43768,88.66964,4.611702,11.77985,90.94875,4.454475,251201,194346,4.64,30.71,50.26,32.67,88.81,11.45,0.66,2.06,1.8,1.12,3.97,11.85,18.5,0,2.57,1.808,5.93,11.46,1.2,8.532579,4.48608
"2025-12-01 19:00:00",36322,13.07,2.745,"NAN","NAN",-1.078009,-1.067847,-1.110663,-0.7832092,-0.9564575,4.546167,4.448755,4.473566,4.460474,4.461328,4.408746,11.48826,89.01264,4.590492,11.8042,91.15572,4.462341,251201,195346,4.636,30.7,50.25,32.66,87.27,11.25,0.65,2,1.9,1.21,4.03,12.03,18.54,0,2.57,1.808,5.93,11.47,1.2,8.534076,4.492144
"2025-12-01 19:10:00",36323,13.07,2.662,"NAN","NAN",-1.080328,-1.133215,-1.131384,-0.7394165,-0.9128174,4.52868,4.46734,4.475275,4.462823,4.463647,4.406976,11.53917,89.33855,4.561073,11.75794,90.804,4.464684,251201,200346,4.604,30.68,50.26,32.67,88.12,11.37,0.49,1.4,1.78,1.1,3.98,11.89,18.02,0,2.57,1.806,5.94,11.46,1.2,8.533469,4.491724
"2025-12-01 19:20:00",36324,13.05,2.612,"NAN","NAN",-0.9684814,-1.023199,-0.979071,-0.5601257,-0.863623,4.502893,4.474603,4.475641,4.464777,4.466699,4.408777,11.49914,88.98139,4.540665,11.75605,90.78936,4.464684,251201,201346,4.583,30.66,50.26,32.67,85.04,10.98,0.51,1.48,1.82,1.14,3.97,11.87,18.31,0,2.56,1.805,5.93,11.45,1.2,8.534064,4.488307
"2025-12-01 19:30:00",36325,13.04,2.616,"NAN","NAN",-0.820227,-0.8945678,-0.8226379,-0.4254822,-0.7544006,4.49209,4.470758,4.48324,4.46261,4.466363,4.409357,11.61204,89.82798,4.529129,11.74814,90.72427,4.46302,251201,202346,4.58,30.65,50.26,32.67,84.16,10.86,0.5,1.43,1.85,1.16,3.99,11.93,17.24,0,2.56,1.806,5.93,11.44,1.2,8.534873,4.490786
"2025-12-01 19:40:00",36326,13.06,2.643,"NAN","NAN",-0.7361816,-0.7214111,-0.6998962,-0.3410095,-0.5697082,4.485651,4.470453,4.49093,4.458612,4.4638,4.409875,11.48716,88.87636,4.535301,11.75246,90.75698,4.462685,251201,203346,4.568,30.65,50.27,32.68,88.56,11.44,0.65,2.01,1.8,1.12,3.96,11.83,18.42,0,2.56,1.804,5.93,11.43,1.2,8.53316,4.490968
"2025-12-01 19:50:00",36327,13.04,2.672,"NAN","NAN",-0.8111938,-0.756018,-0.7549804,-0.3432373,-0.6398681,4.450098,4.451837,4.494653,4.46853,4.463251,4.413568,11.47055,88.63585,4.486946,11.73296,90.60993,4.464188,251201,204346,4.566,30.65,50.26,32.67,86.04,11.11,0.5,1.46,1.78,1.09,3.93,11.75,16.82,0,2.56,1.804,5.93,11.42,1.2,8.533281,4.496697
"2025-12-01 20:00:00",36328,13.03,2.66,"NAN","NAN",-0.9474243,-1.042944,-0.9346374,-0.5254577,-0.8312744,4.442804,4.446283,4.496027,4.474237,4.463037,4.417871,11.42615,88.29242,4.486778,11.76105,90.82719,4.464363,251201,205346,4.534,30.63,50.28,32.68,83.05,10.74,0.42,1.15,1.79,1.11,3.97,11.85,18.34,0,2.57,1.806,5.94,11.44,1.2,8.533187,4.499345
"2025-12-01 20:10:00",36329,13.04,2.603,"NAN","NAN",-1.189276,-1.289862,-1.217078,-0.8536743,-0.9911255,4.459253,4.423883,4.473871,4.466608,4.466638,4.421686,11.55145,89.24388,4.479584,11.73391,90.61634,4.463852,251201,210346,4.525,30.62,50.28,32.68,81.08,10.48,0.44,1.24,1.76,1.08,3.99,11.93,17.55,0,2.57,1.809,5.94,11.42,1.2,8.534468,4.50205
"2025-12-01 20:20:00",36330,13.02,2.519,"NAN","NAN",-0.9032348,-1.316656,-1.136298,-0.7234863,-0.9369568,4.459466,4.429468,4.476709,4.455865,4.468866,4.425531,11.52549,89.09666,4.502518,11.74371,90.70145,4.467873,251201,211346,4.53,30.65,50.33,32.72,82.6,10.68,0.45,1.27,1.78,1.09,4.07,12.17,17.92,0,2.57,1.811,5.94,11.42,1.2,8.534459,4.507544
"2025-12-01 20:30:00",36331,13.04,2.469,"NAN","NAN",-1.166663,-1.325903,-1.214301,-0.9016174,-0.979071,4.426874,4.412988,4.454736,4.461145,4.467035,4.422632,11.48736,88.69758,4.457489,11.75811,90.81772,4.469872,251201,212346,4.503,30.6,50.29,32.69,87.56,11.33,0.46,1.32,1.8,1.11,3.98,11.88,18.52,0,2.57,1.811,5.93,11.41,1.2,8.534036,4.502737
"2025-12-01 20:40:00",36332,12.88,2.482,"NAN","NAN",-1.188483,-1.377753,-1.157446,-0.8764709,-0.915747,4.463342,4.401361,4.450067,4.455041,4.465204,4.424798,11.51798,88.97874,4.476746,11.72292,90.55094,4.472046,251201,213346,4.512,30.62,50.3,32.7,84.39,10.91,0.38,1,1.76,1.08,4.13,12.36,16.56,0,2.57,1.813,5.93,11.19,1.2,8.533447,4.505652
"2025-12-01 20:50:00",36333,12.88,2.686,"NAN","NAN",-1.097449,-1.207343,-1.02323,-0.7342285,-0.7872375,4.429376,4.415033,4.455591,4.456293,4.466302,4.427911,11.46536,88.62799,4.500847,11.73396,90.65795,4.481255,251201,214346,4.53,30.64,50.31,32.7,82.96,10.72,0.44,1.24,1.79,1.11,4.05,12.1,18.44,0,2.57,1.812,5.93,11.25,1.2,8.533104,4.509521
"2025-12-01 21:00:00",36334,12.87,2.982,"NAN","NAN",-0.7765259,-0.7381042,-0.6411499,-0.3385681,-0.446936,4.428766,4.420862,4.458642,4.451471,4.465997,4.430871,11.47375,88.59518,4.458656,11.71523,90.51881,4.483612,251201,215346,4.518,30.62,50.3,32.7,82.98,10.73,0.4,1.06,1.73,1.05,4.05,12.09,17.29,0,2.57,1.812,5.93,11.25,1.2,8.533851,4.51053
"2025-12-01 21:10:00",36335,12.84,3.353,"NAN","NAN",-0.3768982,-0.4285645,-0.259314,0.04598389,-0.1524719,4.433618,4.42135,4.46026,4.452692,4.46615,4.432245,11.24961,86.87062,4.461327,11.73119,90.64919,4.486626,251201,220346,4.517,30.6,50.27,32.67,84.17,10.88,0.34,0.87,1.76,1.07,4.07,12.17,18.26,0,2.57,1.807,5.94,11.21,1.2,8.534549,4.511848
"2025-12-01 21:20:00",36336,12.98,3.608,"NAN","NAN",-0.1567749,-0.1406616,0.05852661,0.3900696,0.1541687,4.440698,4.42077,4.460657,4.451471,4.466363,4.430566,11.47884,88.65989,4.469536,11.74778,90.77679,4.48629,251201,220846,4.523,30.63,50.3,32.7,85.01,10.99,0.4,1.07,1.78,1.09,4.09,12.23,17.75,0,2.57,1.806,5.94,11.25,1.2,8.535086,4.513025
"2025-12-01 21:30:00",36337,12.99,3.751,"NAN","NAN",0.2192322,0.1902405,0.3941284,0.6527039,0.5252014,4.455469,4.415002,4.460168,4.450616,4.463434,4.433008,11.62063,89.79379,4.486114,11.67376,90.20786,4.487625,251201,222346,4.523,30.62,50.29,32.69,87.65,11.33,0.52,1.53,1.78,1.09,3.99,11.93,18.33,0,2.56,1.804,5.93,11.4,1.2,8.535038,4.507446
"2025-12-01 21:40:00",36338,13,3.86,"NAN","NAN",0.2697082,0.2315308,0.4291626,0.7907959,0.6115357,4.446527,4.416467,4.454797,4.449426,4.465051,4.429773,11.47894,88.69242,4.483269,11.69233,90.34967,4.486961,251201,223346,4.525,30.62,50.28,32.68,86.18,11.14,0.42,1.15,1.78,1.09,4.05,12.09,18.07,0,2.56,1.801,5.93,11.4,1.2,8.53477,4.508721
"2025-12-01 21:50:00",36339,13,3.911,"NAN","NAN",0.1994873,0.09288941,0.3580566,0.7309204,0.4960571,4.448724,4.410486,4.434045,4.439325,4.463495,4.430566,11.45963,88.54319,4.483269,11.69797,90.39571,4.487961,251201,224346,4.525,30.63,50.3,32.69,87.77,11.35,0.38,1,1.78,1.1,3.98,11.91,18.37,0,2.56,1.803,5.93,11.38,1.2,8.534495,4.509184
